chunk_id,article_id,section,has_image,caption_text_len,cos_sim,l2_dist
do-you-really-have-atlantoaxial-and-craniocervical-instability_Case_report_#2_7d7f5d6c,do-you-really-have-atlantoaxial-and-craniocervical-instability,Case report #2,True,77,0.9310683,0.37129983
causes-hip-pain-how-to-fix_Varieties_of_hip_pain_526be26a,causes-hip-pain-how-to-fix,Varieties of hip pain,False,0,0.9999998,0.0
atlas-joint-instability-causes-consequences-solutions_The_longus_colli_and_longus_capitis_55ab2c8f,atlas-joint-instability-causes-consequences-solutions,The longus colli and longus capitis,False,0,0.9999998,0.0
how-truly-treat-thoracic-outlet-syndrome_Arterial_/_Vascular_TOS_ce9f986c,how-truly-treat-thoracic-outlet-syndrome,Arterial / Vascular TOS,False,0,0.9999999,0.0
really-assess-lumbar-lordosis-dispelling-fallacy-anterior-pelvic-tilt_What_does_the_common_sense_say?_271d0e8c,really-assess-lumbar-lordosis-dispelling-fallacy-anterior-pelvic-tilt,What does the common sense say?,False,0,0.9999999,0.0
association-tinnitus-neck-tmj_The_temporomandibular_joint_78b1aea7,association-tinnitus-neck-tmj,The temporomandibular joint,False,0,0.9999999,0.0
permanently-resolve-scapular-dyskinesis_Movement_correctives_e161296f,permanently-resolve-scapular-dyskinesis,Movement correctives,False,0,0.9999999,0.0
do-you-really-have-atlantoaxial-and-craniocervical-instability_Illegitimate_and_non-sinister_incidences_AAI_/_CCI_e753cfd2,do-you-really-have-atlantoaxial-and-craniocervical-instability,Illegitimate and non-sinister incidences AAI / CCI,False,0,0.9999999,0.0
multifactorial-causes-solutions-chronic-neck-pain_Discogenic_neck_pain_9ea08992,multifactorial-causes-solutions-chronic-neck-pain,Discogenic neck pain,False,0,0.9999999,0.0
myalgic-encephalomyelitis-me-biomechanical_In_conclusion_b721bf11,myalgic-encephalomyelitis-me-biomechanical,In conclusion,False,0,0.9999999,0.0
permanently-resolve-scapular-dyskinesis_General_kinesiology_43434295,permanently-resolve-scapular-dyskinesis,General kinesiology,False,0,0.9999999,0.0
multifactorial-causes-solutions-chronic-neck-pain_Muscle_pain_and_headaches_97eab92c,multifactorial-causes-solutions-chronic-neck-pain,Muscle pain and headaches,False,0,0.9999999,0.0
myalgic-encephalomyelitis-me-biomechanical_In_conclusion_4e66d667,myalgic-encephalomyelitis-me-biomechanical,In conclusion,False,0,0.9999999,0.0
do-you-really-have-atlantoaxial-and-craniocervical-instability_Case_report_#2_793e7cc7,do-you-really-have-atlantoaxial-and-craniocervical-instability,Case report #2,False,0,0.9999999,0.0
identify-treat-lumbar-plexus-compression-syndrome-lpcs_Evaluation_of_the_psoas_major_e08d35fd,identify-treat-lumbar-plexus-compression-syndrome-lpcs,Evaluation of the psoas major,False,0,0.9999999,0.0
shoulder-pain-scapular-stability_The_triggers_of_shoulder_impingement_709e61eb,shoulder-pain-scapular-stability,The triggers of shoulder impingement,False,0,0.9999999,0.0
resolve-knee-pain-alignment_Anterior_tibial_glide_1cdbeb90,resolve-knee-pain-alignment,Anterior tibial glide,False,0,0.9999999,0.0
permanently-resolve-scapular-dyskinesis_Why_improper_scapular_mechanics_cause_injury_a1ef350a,permanently-resolve-scapular-dyskinesis,Why improper scapular mechanics cause injury,False,0,0.9999999,0.0
neurogenic-genital-pain-pudendal-neuralgia-and-inferior-hypogastric-plexalgia_Etiology_23be660b,neurogenic-genital-pain-pudendal-neuralgia-and-inferior-hypogastric-plexalgia,Etiology,False,0,0.9999999,0.0
identify-treat-lumbar-plexus-compression-syndrome-lpcs_Identification_by_provocative_testing_aa843265,identify-treat-lumbar-plexus-compression-syndrome-lpcs,Identification by provocative testing,False,0,0.9999999,0.0
identify-treat-lumbar-plexus-compression-syndrome-lpcs_Compression_vs._entrapment_720c6cc1,identify-treat-lumbar-plexus-compression-syndrome-lpcs,Compression vs. entrapment,False,0,0.9999999,0.0
atlas-joint-instability-causes-consequences-solutions_Posture_68edbdd6,atlas-joint-instability-causes-consequences-solutions,Posture,False,0,0.9999999,0.0
multifactorial-causes-solutions-chronic-neck-pain_Proper_structural_habits_3c87820a,multifactorial-causes-solutions-chronic-neck-pain,Proper structural habits,False,0,0.9999999,0.0
atlas-joint-instability-causes-consequences-solutions_Summary_21651887,atlas-joint-instability-causes-consequences-solutions,Summary,False,0,0.99999994,0.0
treating-migraine-headaches-addressing-atlas-thoracic-outlet_Subclavian_artery_occlusion_370fa557,treating-migraine-headaches-addressing-atlas-thoracic-outlet,Subclavian artery occlusion,False,0,0.99999994,0.0
treating-migraine-headaches-addressing-atlas-thoracic-outlet_In_summary_7d8ca00f,treating-migraine-headaches-addressing-atlas-thoracic-outlet,In summary,False,0,0.99999994,0.0
